top_k,nprobe,batch_size,average_ms,qps,batch_p50_ms,batch_p99_ms
10,160,8,163.117,6130.58,1.26016,1.28992
10,160,16,150.854,6628.93,2.33667,2.38550
10,160,32,146.206,6839.68,4.53709,4.65718
10,160,64,143.411,6972.97,8.89664,9.39501
10,160,128,151.117,6617.41,18.7522,20.2491
50,160,8,208.800,4789.27,1.61629,1.71613
50,160,32,150.702,6635.63,4.66973,4.87680
50,160,64,156.270,6399.20,9.66397,11.6425
50,160,128,186.526,5361.18,23.4392,24.0252
100,160,8,234.454,4265.24,1.80531,2.00845
100,160,32,188.907,5293.60,5.83405,6.11971
100,160,64,186.597,5359.15,11.5481,12.1629
100,160,128,187.932,5321.08,23.2395,24.5809
